"","x"
"1","Medtr0087s0090"
"2","Medtr0096s0020"
"3","Medtr0219s0040"
"4","Medtr1236s0010"
"5","Medtr1g014700"
"6","Medtr1g031470"
"7","Medtr1g054205"
"8","Medtr1g057830"
"9","Medtr1g068880"
"10","Medtr1g075470"
"11","Medtr1g075660"
"12","Medtr1g079465"
"13","Medtr1g079530"
"14","Medtr1g081230"
"15","Medtr1g086430"
"16","Medtr1g093010"
"17","Medtr1g100607"
"18","Medtr1g105580"
"19","Medtr1g107390"
"20","Medtr1g108770"
"21","Medtr1g114330"
"22","Medtr2g007520"
"23","Medtr2g031810"
"24","Medtr2g045410"
"25","Medtr2g078770"
"26","Medtr2g084400"
"27","Medtr2g090555"
"28","Medtr3g008470"
"29","Medtr3g023230"
"30","Medtr3g026920"
"31","Medtr3g027330"
"32","Medtr3g053240"
"33","Medtr3g067730"
"34","Medtr3g077360"
"35","Medtr3g096980"
"36","Medtr3g106520"
"37","Medtr4g005270"
"38","Medtr4g014720"
"39","Medtr4g019790"
"40","Medtr4g050710"
"41","Medtr4g080340"
"42","Medtr4g081225"
"43","Medtr4g083680"
"44","Medtr4g088840"
"45","Medtr4g093050"
"46","Medtr4g094718"
"47","Medtr4g104940"
"48","Medtr4g123500"
"49","Medtr4g128590"
"50","Medtr5g005820"
"51","Medtr5g016690"
"52","Medtr5g020440"
"53","Medtr5g028450"
"54","Medtr5g029600"
"55","Medtr5g031160"
"56","Medtr5g036790"
"57","Medtr5g043040"
"58","Medtr5g082190"
"59","Medtr6g015325"
"60","Medtr6g033760"
"61","Medtr7g012800"
"62","Medtr7g015240"
"63","Medtr7g022690"
"64","Medtr7g033325"
"65","Medtr7g056623"
"66","Medtr7g066230"
"67","Medtr7g075220"
"68","Medtr7g076665"
"69","Medtr7g077970"
"70","Medtr7g087480"
"71","Medtr7g095970"
"72","Medtr7g100470"
"73","Medtr7g111500"
"74","Medtr7g113950"
"75","Medtr7g115270"
"76","Medtr7g451210"
"77","Medtr7g481630"
"78","Medtr8g009080"
"79","Medtr8g011510"
"80","Medtr8g011560"
"81","Medtr8g012895"
"82","Medtr8g018270"
"83","Medtr8g024690"
"84","Medtr8g028315"
"85","Medtr8g028550"
"86","Medtr8g028890"
"87","Medtr8g033380"
"88","Medtr8g038350"
"89","Medtr8g041670"
"90","Medtr8g046310"
"91","Medtr8g062750"
"92","Medtr8g068210"
"93","Medtr8g071250"
"94","Medtr8g076920"
"95","Medtr8g080990"
"96","Medtr8g091300"
"97","Medtr8g091730"
"98","Medtr8g092740"
"99","Medtr8g093280"
"100","Medtr8g102380"
"101","Medtr8g104300"
"102","Medtr8g463870"
