"","x"
"1","Medtr0050s0010"
"2","Medtr0082s0090"
"3","Medtr0082s0100"
"4","Medtr0129s0050"
"5","Medtr0223s0040"
"6","Medtr0252s0060"
"7","Medtr0280s0030"
"8","Medtr0425s0030"
"9","Medtr0857s0010"
"10","Medtr1g008300"
"11","Medtr1g009180"
"12","Medtr1g012490"
"13","Medtr1g013090"
"14","Medtr1g019320"
"15","Medtr1g019670"
"16","Medtr1g021320"
"17","Medtr1g022015"
"18","Medtr1g023600"
"19","Medtr1g024125"
"20","Medtr1g027710"
"21","Medtr1g033850"
"22","Medtr1g035250"
"23","Medtr1g035350"
"24","Medtr1g037030"
"25","Medtr1g040525"
"26","Medtr1g046820"
"27","Medtr1g047390"
"28","Medtr1g050700"
"29","Medtr1g051155"
"30","Medtr1g069150"
"31","Medtr1g069945"
"32","Medtr1g071620"
"33","Medtr1g071630"
"34","Medtr1g075450"
"35","Medtr1g078210"
"36","Medtr1g079440"
"37","Medtr1g080110"
"38","Medtr1g080990"
"39","Medtr1g082430"
"40","Medtr1g083860"
"41","Medtr1g085280"
"42","Medtr1g090813"
"43","Medtr1g101710"
"44","Medtr1g104540"
"45","Medtr1g104550"
"46","Medtr1g109190"
"47","Medtr1g114280"
"48","Medtr1g116890"
"49","Medtr2g005290"
"50","Medtr2g005700"
"51","Medtr2g006360"
"52","Medtr2g010010"
"53","Medtr2g010920"
"54","Medtr2g012400"
"55","Medtr2g014720"
"56","Medtr2g014740"
"57","Medtr2g016730"
"58","Medtr2g018135"
"59","Medtr2g018640"
"60","Medtr2g018750"
"61","Medtr2g025495"
"62","Medtr2g030510"
"63","Medtr2g034340"
"64","Medtr2g044040"
"65","Medtr2g064090"
"66","Medtr2g069020"
"67","Medtr2g072560"
"68","Medtr2g072620"
"69","Medtr2g074950"
"70","Medtr2g086283"
"71","Medtr2g089380"
"72","Medtr2g089650"
"73","Medtr2g091145"
"74","Medtr2g093230"
"75","Medtr2g098425"
"76","Medtr2g099820"
"77","Medtr2g100070"
"78","Medtr2g100870"
"79","Medtr2g103940"
"80","Medtr2g104065"
"81","Medtr2g104970"
"82","Medtr2g105210"
"83","Medtr2g437020"
"84","Medtr2g437100"
"85","Medtr2g437170"
"86","Medtr2g450480"
"87","Medtr3g011950"
"88","Medtr3g015873"
"89","Medtr3g016250"
"90","Medtr3g019025"
"91","Medtr3g019490"
"92","Medtr3g019710"
"93","Medtr3g028740"
"94","Medtr3g034085"
"95","Medtr3g052980"
"96","Medtr3g055750"
"97","Medtr3g058520"
"98","Medtr3g061370"
"99","Medtr3g061530"
"100","Medtr3g062010"
"101","Medtr3g068015"
"102","Medtr3g068135"
"103","Medtr3g069000"
"104","Medtr3g071850"
"105","Medtr3g080230"
"106","Medtr3g080390"
"107","Medtr3g084190"
"108","Medtr3g086760"
"109","Medtr3g087360"
"110","Medtr3g088405"
"111","Medtr3g088570"
"112","Medtr3g093060"
"113","Medtr3g094190"
"114","Medtr3g098510"
"115","Medtr3g099130"
"116","Medtr3g099590"
"117","Medtr3g102510"
"118","Medtr3g110132"
"119","Medtr3g111530"
"120","Medtr3g112310"
"121","Medtr3g114260"
"122","Medtr3g114810"
"123","Medtr3g114850"
"124","Medtr3g114920"
"125","Medtr3g115120"
"126","Medtr3g116850"
"127","Medtr3g117190"
"128","Medtr3g117485"
"129","Medtr3g117560"
"130","Medtr3g118250"
"131","Medtr3g434780"
"132","Medtr3g449790"
"133","Medtr3g450410"
"134","Medtr3g450500"
"135","Medtr3g464000"
"136","Medtr3g464650"
"137","Medtr3g465100"
"138","Medtr4g006100"
"139","Medtr4g015550"
"140","Medtr4g022330"
"141","Medtr4g022670"
"142","Medtr4g025690"
"143","Medtr4g027040"
"144","Medtr4g028800"
"145","Medtr4g032805"
"146","Medtr4g036040"
"147","Medtr4g036225"
"148","Medtr4g045917"
"149","Medtr4g054820"
"150","Medtr4g055160"
"151","Medtr4g057210"
"152","Medtr4g057530"
"153","Medtr4g063070"
"154","Medtr4g067020"
"155","Medtr4g069140"
"156","Medtr4g072020"
"157","Medtr4g072910"
"158","Medtr4g074330"
"159","Medtr4g074990"
"160","Medtr4g076470"
"161","Medtr4g076600"
"162","Medtr4g077760"
"163","Medtr4g079750"
"164","Medtr4g083130"
"165","Medtr4g083440"
