"","x"
"1","Medtr0002s1060"
"2","Medtr0088s0100"
"3","Medtr0103s0090"
"4","Medtr0177s0080"
"5","Medtr0246s0020"
"6","Medtr0368s0010"
"7","Medtr1252s0010"
"8","Medtr1344s0010"
"9","Medtr1g009210"
"10","Medtr1g012610"
"11","Medtr1g012820"
"12","Medtr1g015410"
"13","Medtr1g015890"
"14","Medtr1g018600"
"15","Medtr1g024165"
"16","Medtr1g025950"
"17","Medtr1g027960"
"18","Medtr1g028280"
"19","Medtr1g028290"
"20","Medtr1g031200"
"21","Medtr1g040215"
"22","Medtr1g041795"
"23","Medtr1g051385"
"24","Medtr1g052510"
"25","Medtr1g057810"
"26","Medtr1g058490"
"27","Medtr1g061080"
"28","Medtr1g062090"
"29","Medtr1g066430"
"30","Medtr1g067260"
"31","Medtr1g070010"
"32","Medtr1g070140"
"33","Medtr1g071350"
"34","Medtr1g073130"
"35","Medtr1g073430"
"36","Medtr1g080780"
"37","Medtr1g082830"
"38","Medtr1g082900"
"39","Medtr1g083290"
"40","Medtr1g085700"
"41","Medtr1g087540"
"42","Medtr1g088535"
"43","Medtr1g089180"
"44","Medtr1g090330"
"45","Medtr1g090697"
"46","Medtr1g092670"
"47","Medtr1g093640"
"48","Medtr1g096860"
"49","Medtr1g098030"
"50","Medtr1g104590"
"51","Medtr1g106470"
"52","Medtr1g112500"
"53","Medtr1g112510"
"54","Medtr2g008540"
"55","Medtr2g008620"
"56","Medtr2g010890"
"57","Medtr2g013110"
"58","Medtr2g013900"
"59","Medtr2g014860"
"60","Medtr2g015270"
"61","Medtr2g022370"
"62","Medtr2g022520"
"63","Medtr2g024300"
"64","Medtr2g026595"
"65","Medtr2g026645"
"66","Medtr2g029000"
"67","Medtr2g029740"
"68","Medtr2g029910"
"69","Medtr2g031640"
"70","Medtr2g037600"
"71","Medtr2g037710"
"72","Medtr2g042970"
"73","Medtr2g049310"
"74","Medtr2g063110"
"75","Medtr2g064950"
"76","Medtr2g073380"
"77","Medtr2g084010"
"78","Medtr2g086010"
"79","Medtr2g087960"
"80","Medtr2g089000"
"81","Medtr2g090960"
"82","Medtr2g091180"
"83","Medtr2g098240"
"84","Medtr2g104210"
"85","Medtr2g437620"
"86","Medtr2g461710"
"87","Medtr3g006730"
"88","Medtr3g011820"
"89","Medtr3g019390"
"90","Medtr3g020230"
"91","Medtr3g020520"
"92","Medtr3g021440"
"93","Medtr3g027990"
"94","Medtr3g028450"
"95","Medtr3g031300"
"96","Medtr3g033915"
"97","Medtr3g045770"
"98","Medtr3g055490"
"99","Medtr3g056320"
"100","Medtr3g058320"
"101","Medtr3g060950"
"102","Medtr3g070710"
"103","Medtr3g071695"
"104","Medtr3g080100"
