"","x"
"1","Medtr0004s0610"
"2","Medtr0009s0250"
"3","Medtr0014s0200"
"4","Medtr0041s0140"
"5","Medtr0047s0100"
"6","Medtr0052s0060"
"7","Medtr0052s0110"
"8","Medtr0083s0110"
"9","Medtr0087s0010"
"10","Medtr0182s0060"
"11","Medtr0189s0030"
"12","Medtr0263s0020"
"13","Medtr0380s0030"
"14","Medtr0419s0060"
"15","Medtr0794s0020"
"16","Medtr0927s0010"
"17","Medtr1g007340"
"18","Medtr1g008140"
"19","Medtr1g009720"
"20","Medtr1g016540"
"21","Medtr1g021470"
"22","Medtr1g022105"
"23","Medtr1g025655"
"24","Medtr1g025810"
"25","Medtr1g027920"
"26","Medtr1g027930"
"27","Medtr1g028980"
"28","Medtr1g033630"
"29","Medtr1g036290"
"30","Medtr1g036770"
"31","Medtr1g038530"
"32","Medtr1g040810"
"33","Medtr1g040965"
"34","Medtr1g041105"
"35","Medtr1g042700"
"36","Medtr1g046810"
"37","Medtr1g047190"
"38","Medtr1g047640"
"39","Medtr1g047940"
"40","Medtr1g050875"
"41","Medtr1g051700"
"42","Medtr1g052185"
"43","Medtr1g054210"
"44","Medtr1g054635"
"45","Medtr1g054865"
"46","Medtr1g054965"
"47","Medtr1g062630"
"48","Medtr1g062650"
"49","Medtr1g069145"
"50","Medtr1g070355"
"51","Medtr1g072320"
"52","Medtr1g072440"
"53","Medtr1g072530"
"54","Medtr1g073580"
"55","Medtr1g074030"
"56","Medtr1g074930"
"57","Medtr1g075790"
"58","Medtr1g076850"
"59","Medtr1g077230"
"60","Medtr1g077520"
"61","Medtr1g077540"
"62","Medtr1g077760"
"63","Medtr1g080340"
"64","Medtr1g081760"
"65","Medtr1g082440"
"66","Medtr1g083770"
"67","Medtr1g083983"
"68","Medtr1g086070"
"69","Medtr1g086210"
"70","Medtr1g086220"
"71","Medtr1g086650"
"72","Medtr1g087050"
"73","Medtr1g088765"
"74","Medtr1g089820"
"75","Medtr1g090200"
"76","Medtr1g090220"
"77","Medtr1g090230"
"78","Medtr1g093110"
"79","Medtr1g096820"
"80","Medtr1g098200"
"81","Medtr1g099210"
"82","Medtr1g099580"
"83","Medtr1g100060"
"84","Medtr1g100230"
"85","Medtr1g101400"
"86","Medtr1g101850"
"87","Medtr1g103200"
"88","Medtr1g103720"
"89","Medtr1g104960"
"90","Medtr1g105835"
"91","Medtr1g106020"
"92","Medtr1g106995"
"93","Medtr1g107325"
"94","Medtr1g110810"
"95","Medtr1g116010"
"96","Medtr2g007100"
"97","Medtr2g007890"
"98","Medtr2g008560"
"99","Medtr2g008740"
"100","Medtr2g010690"
"101","Medtr2g011230"
"102","Medtr2g011240"
"103","Medtr2g013480"
"104","Medtr2g016510"
"105","Medtr2g017620"
"106","Medtr2g020810"
"107","Medtr2g021248"
"108","Medtr2g021540"
"109","Medtr2g021580"
"110","Medtr2g023380"
"111","Medtr2g023710"
"112","Medtr2g025520"
"113","Medtr2g025830"
"114","Medtr2g026210"
"115","Medtr2g031700"
"116","Medtr2g031980"
"117","Medtr2g033820"
"118","Medtr2g039950"
"119","Medtr2g049980"
"120","Medtr2g054670"
"121","Medtr2g060420"
"122","Medtr2g061200"
"123","Medtr2g066980"
"124","Medtr2g067200"
"125","Medtr2g071940"
"126","Medtr2g072090"
