"","x"
"1","Medtr0050s0010"
"2","Medtr0050s0130"
"3","Medtr0131s0030"
"4","Medtr0173s0020"
"5","Medtr0242s0050"
"6","Medtr0328s0030"
"7","Medtr0400s0010"
"8","Medtr0419s0010"
"9","Medtr0571s0030"
"10","Medtr0991s0010"
"11","Medtr1g027580"
"12","Medtr1g027950"
"13","Medtr1g036680"
"14","Medtr1g041020"
"15","Medtr1g046820"
"16","Medtr1g050145"
"17","Medtr1g052525"
"18","Medtr1g059730"
"19","Medtr1g061080"
"20","Medtr1g066870"
"21","Medtr1g071350"
"22","Medtr1g082690"
"23","Medtr1g086220"
"24","Medtr1g090430"
"25","Medtr1g099600"
"26","Medtr1g100100"
"27","Medtr1g100653"
"28","Medtr1g101850"
"29","Medtr1g102140"
"30","Medtr1g109420"
"31","Medtr1g110230"
"32","Medtr1g112520"
"33","Medtr2g014740"
"34","Medtr2g017890"
"35","Medtr2g023070"
"36","Medtr2g023790"
"37","Medtr2g024290"
"38","Medtr2g031770"
"39","Medtr2g038500"
"40","Medtr2g042580"
"41","Medtr2g048360"
"42","Medtr2g058990"
"43","Medtr2g061200"
"44","Medtr2g065730"
"45","Medtr2g072100"
"46","Medtr2g072340"
"47","Medtr2g074950"
"48","Medtr2g075060"
"49","Medtr2g080280"
"50","Medtr2g086190"
"51","Medtr2g087830"
"52","Medtr2g090960"
"53","Medtr2g091145"
"54","Medtr2g091180"
"55","Medtr2g094020"
"56","Medtr2g098590"
"57","Medtr2g099465"
"58","Medtr2g100070"
"59","Medtr2g100460"
"60","Medtr2g100550"
"61","Medtr2g102090"
"62","Medtr2g103940"
"63","Medtr2g104475"
"64","Medtr2g105000"
"65","Medtr2g450480"
"66","Medtr3g009400"
"67","Medtr3g010695"
"68","Medtr3g012370"
"69","Medtr3g019160"
"70","Medtr3g022785"
"71","Medtr3g032800"
"72","Medtr3g033020"
"73","Medtr3g033420"
"74","Medtr3g034290"
"75","Medtr3g062010"
"76","Medtr3g064785"
"77","Medtr3g080890"
"78","Medtr3g084160"
"79","Medtr3g084170"
"80","Medtr3g084850"
"81","Medtr3g088670"
"82","Medtr3g089977"
"83","Medtr3g090830"
"84","Medtr3g092320"
"85","Medtr3g096290"
"86","Medtr3g097080"
"87","Medtr3g104810"
"88","Medtr3g106660"
"89","Medtr3g111320"
"90","Medtr3g111530"
"91","Medtr3g112270"
"92","Medtr3g117280"
"93","Medtr3g117560"
"94","Medtr3g450490"
"95","Medtr4g007470"
"96","Medtr4g010000"
"97","Medtr4g014140"
"98","Medtr4g016040"
"99","Medtr4g020660"
"100","Medtr4g033325"
"101","Medtr4g034750"
"102","Medtr4g035220"
"103","Medtr4g037145"
"104","Medtr4g046757"
"105","Medtr4g052230"
"106","Medtr4g052390"
"107","Medtr4g075760"
"108","Medtr4g077787"
"109","Medtr4g079170"
"110","Medtr4g080060"
"111","Medtr4g080895"
"112","Medtr4g082470"
"113","Medtr4g088180"
"114","Medtr4g088335"
"115","Medtr4g089115"
"116","Medtr4g091085"
"117","Medtr4g093980"
"118","Medtr4g097250"
"119","Medtr4g104890"
"120","Medtr4g107930"
"121","Medtr4g108660"
"122","Medtr4g112630"
"123","Medtr4g122890"
"124","Medtr4g122990"
"125","Medtr4g123490"
"126","Medtr4g126210"
"127","Medtr4g131010"
"128","Medtr4g133690"
"129","Medtr4g415070"
"130","Medtr5g016090"
"131","Medtr5g018660"
"132","Medtr5g019760"
"133","Medtr5g021220"
"134","Medtr5g026960"
"135","Medtr5g029600"
"136","Medtr5g033270"
"137","Medtr5g034920"
"138","Medtr5g049780"
"139","Medtr5g054930"
"140","Medtr5g061650"
"141","Medtr5g063740"
"142","Medtr5g065600"
"143","Medtr5g076340"
"144","Medtr5g076660"
"145","Medtr5g081790"
"146","Medtr5g081840"
"147","Medtr5g084850"
"148","Medtr5g085280"
"149","Medtr5g089960"
"150","Medtr5g090110"
"151","Medtr5g090980"
"152","Medtr5g092190"
"153","Medtr5g092290"
"154","Medtr5g097215"
"155","Medtr5g459310"
"156","Medtr6g006760"
"157","Medtr6g012110"
"158","Medtr6g015645"
"159","Medtr6g015875"
"160","Medtr6g018390"
"161","Medtr6g018860"
"162","Medtr6g022570"
"163","Medtr6g027580"
"164","Medtr6g033895"
"165","Medtr6g038670"
"166","Medtr6g045633"
"167","Medtr6g072780"
"168","Medtr6g073110"
"169","Medtr6g074870"
"170","Medtr6g077350"
"171","Medtr6g078875"
"172","Medtr6g081280"
"173","Medtr6g081940"
"174","Medtr6g082360"
"175","Medtr6g088895"
"176","Medtr6g471070"
"177","Medtr7g006800"
"178","Medtr7g015250"
"179","Medtr7g018500"
"180","Medtr7g045510"
"181","Medtr7g066580"
"182","Medtr7g066900"
"183","Medtr7g068190"
"184","Medtr7g068300"
"185","Medtr7g069270"
"186","Medtr7g072720"
"187","Medtr7g073580"
"188","Medtr7g073590"
"189","Medtr7g075700"
"190","Medtr7g077815"
"191","Medtr7g077880"
"192","Medtr7g079740"
"193","Medtr7g080940"
"194","Medtr7g083500"
"195","Medtr7g086350"
"196","Medtr7g088470"
"197","Medtr7g092190"
"198","Medtr7g100320"
"199","Medtr7g102550"
"200","Medtr7g106260"
"201","Medtr7g108815"
"202","Medtr7g113090"
"203","Medtr7g114190"
"204","Medtr8g005900"
"205","Medtr8g006550"
"206","Medtr8g011120"
"207","Medtr8g011370"
"208","Medtr8g011430"
"209","Medtr8g011950"
"210","Medtr8g018710"
"211","Medtr8g027620"
"212","Medtr8g027675"
"213","Medtr8g028375"
"214","Medtr8g038180"
"215","Medtr8g065010"
"216","Medtr8g067050"
"217","Medtr8g073195"
"218","Medtr8g073550"
"219","Medtr8g079010"
"220","Medtr8g079472"
"221","Medtr8g087480"
"222","Medtr8g087970"
"223","Medtr8g090010"
"224","Medtr8g099910"
"225","Medtr8g106520"
"226","Medtr8g469690"
