"","x"
"1","Medtr0003s0580"
"2","Medtr0027s0230"
"3","Medtr0078s0060"
"4","Medtr0102s0060"
"5","Medtr0122s0020"
"6","Medtr0334s0040"
"7","Medtr1088s0010"
"8","Medtr1308s0010"
"9","Medtr1g008310"
"10","Medtr1g008700"
"11","Medtr1g013100"
"12","Medtr1g017080"
"13","Medtr1g017700"
"14","Medtr1g018200"
"15","Medtr1g019480"
"16","Medtr1g022040"
"17","Medtr1g022160"
"18","Medtr1g022440"
"19","Medtr1g025490"
"20","Medtr1g028380"
"21","Medtr1g029750"
"22","Medtr1g031890"
"23","Medtr1g032610"
"24","Medtr1g033000"
"25","Medtr1g036520"
"26","Medtr1g036750"
"27","Medtr1g049200"
"28","Medtr1g053705"
"29","Medtr1g058350"
"30","Medtr1g061940"
"31","Medtr1g066850"
"32","Medtr1g069605"
"33","Medtr1g070250"
"34","Medtr1g075153"
"35","Medtr1g075260"
"36","Medtr1g076650"
"37","Medtr1g077480"
"38","Medtr1g080020"
"39","Medtr1g080690"
"40","Medtr1g081850"
"41","Medtr1g082320"
"42","Medtr1g083020"
"43","Medtr1g083870"
"44","Medtr1g084050"
"45","Medtr1g086310"
"46","Medtr1g087150"
"47","Medtr1g100305"
"48","Medtr1g100603"
"49","Medtr1g102570"
"50","Medtr1g104520"
"51","Medtr1g104555"
"52","Medtr1g106030"
"53","Medtr1g106790"
"54","Medtr1g110710"
"55","Medtr1g111060"
"56","Medtr1g115520"
"57","Medtr2g005130"
"58","Medtr2g008970"
"59","Medtr2g009720"
"60","Medtr2g013655"
"61","Medtr2g016400"
"62","Medtr2g017950"
"63","Medtr2g017960"
"64","Medtr2g017970"
"65","Medtr2g019370"
"66","Medtr2g020630"
"67","Medtr2g022460"
"68","Medtr2g023540"
"69","Medtr2g026520"
"70","Medtr2g028330"
"71","Medtr2g031750"
"72","Medtr2g034410"
"73","Medtr2g034680"
"74","Medtr2g035780"
"75","Medtr2g043710"
"76","Medtr2g044440"
"77","Medtr2g055990"
"78","Medtr2g059540"
"79","Medtr2g063777"
"80","Medtr2g063857"
"81","Medtr2g064090"
"82","Medtr2g065360"
"83","Medtr2g076990"
"84","Medtr2g078210"
"85","Medtr2g081770"
"86","Medtr2g083380"
"87","Medtr2g083930"
"88","Medtr2g084180"
"89","Medtr2g088190"
"90","Medtr2g090210"
"91","Medtr2g093740"
"92","Medtr2g093970"
"93","Medtr2g093980"
"94","Medtr2g096330"
"95","Medtr2g096475"
"96","Medtr2g099630"
"97","Medtr2g100595"
"98","Medtr2g101120"
"99","Medtr2g101130"
"100","Medtr2g101520"
"101","Medtr2g437920"
"102","Medtr2g450480"
"103","Medtr2g462000"
"104","Medtr3g005060"
"105","Medtr3g006280"
"106","Medtr3g015420"
"107","Medtr3g022400"
"108","Medtr3g022732"
"109","Medtr3g025470"
"110","Medtr3g027470"
