"","x"
"1","Medtr0022s0430"
"2","Medtr0024s0310"
"3","Medtr0034s0170"
"4","Medtr0038s0060"
"5","Medtr0052s0170"
"6","Medtr0065s0110"
"7","Medtr0091s0090"
"8","Medtr0154s0020"
"9","Medtr0180s0070"
"10","Medtr0219s0070"
"11","Medtr0236s0050"
"12","Medtr0271s0050"
"13","Medtr0504s0040"
"14","Medtr1457s0010"
"15","Medtr1840s0010"
"16","Medtr1g008310"
"17","Medtr1g009230"
"18","Medtr1g010100"
"19","Medtr1g010260"
"20","Medtr1g016330"
"21","Medtr1g017920"
"22","Medtr1g018550"
"23","Medtr1g019610"
"24","Medtr1g021295"
"25","Medtr1g021330"
"26","Medtr1g022365"
"27","Medtr1g026200"
"28","Medtr1g028150"
"29","Medtr1g033740"
"30","Medtr1g037010"
"31","Medtr1g039080"
"32","Medtr1g040455"
"33","Medtr1g040555"
"34","Medtr1g040735"
"35","Medtr1g041525"
"36","Medtr1g043700"
"37","Medtr1g047660"
"38","Medtr1g051075"
"39","Medtr1g051205"
"40","Medtr1g058110"
"41","Medtr1g058350"
"42","Medtr1g059860"
"43","Medtr1g060470"
"44","Medtr1g060490"
"45","Medtr1g063410"
"46","Medtr1g063850"
"47","Medtr1g063900"
"48","Medtr1g069575"
"49","Medtr1g070350"
"50","Medtr1g070365"
"51","Medtr1g073360"
"52","Medtr1g074070"
"53","Medtr1g075153"
"54","Medtr1g075180"
"55","Medtr1g075700"
"56","Medtr1g077420"
"57","Medtr1g079250"
"58","Medtr1g081420"
"59","Medtr1g081790"
"60","Medtr1g082430"
"61","Medtr1g082815"
"62","Medtr1g082820"
"63","Medtr1g084010"
"64","Medtr1g084920"
"65","Medtr1g085280"
"66","Medtr1g086080"
"67","Medtr1g086390"
"68","Medtr1g089600"
"69","Medtr1g089620"
"70","Medtr1g089760"
"71","Medtr1g090770"
"72","Medtr1g094115"
"73","Medtr1g094215"
"74","Medtr1g096810"
"75","Medtr1g099350"
"76","Medtr1g100070"
"77","Medtr1g102500"
"78","Medtr1g102780"
"79","Medtr1g103540"
"80","Medtr1g104650"
"81","Medtr1g105725"
"82","Medtr1g105945"
"83","Medtr1g106608"
"84","Medtr1g107315"
"85","Medtr1g107555"
"86","Medtr1g108490"
"87","Medtr1g108500"
"88","Medtr1g108690"
"89","Medtr1g109280"
"90","Medtr1g110130"
"91","Medtr1g110460"
"92","Medtr1g110690"
"93","Medtr1g112940"
"94","Medtr1g116000"
"95","Medtr1g116120"
"96","Medtr2g005455"
"97","Medtr2g007050"
"98","Medtr2g008190"
"99","Medtr2g008960"
"100","Medtr2g010870"
"101","Medtr2g011160"
"102","Medtr2g013460"
"103","Medtr2g014235"
"104","Medtr2g014400"
"105","Medtr2g016050"
"106","Medtr2g016560"
"107","Medtr2g016870"
"108","Medtr2g017825"
"109","Medtr2g018090"
"110","Medtr2g019345"
"111","Medtr2g019720"
"112","Medtr2g022700"
"113","Medtr2g028190"
"114","Medtr2g030160"
"115","Medtr2g031430"
"116","Medtr2g031770"
"117","Medtr2g033080"
"118","Medtr2g033580"
"119","Medtr2g034260"
"120","Medtr2g034700"
"121","Medtr2g036380"
"122","Medtr2g044070"
"123","Medtr2g045960"
"124","Medtr2g048360"
"125","Medtr2g060360"
"126","Medtr2g068655"
"127","Medtr2g071980"
"128","Medtr2g072110"
"129","Medtr2g073650"
"130","Medtr2g078200"
"131","Medtr2g078730"
"132","Medtr2g081930"
"133","Medtr2g082410"
"134","Medtr2g082830"
"135","Medtr2g083817"
"136","Medtr2g086090"
"137","Medtr2g086290"
"138","Medtr2g086510"
"139","Medtr2g087090"
"140","Medtr2g087125"
"141","Medtr2g087610"
"142","Medtr2g088020"
"143","Medtr2g089520"
"144","Medtr2g090355"
"145","Medtr2g091370"
"146","Medtr2g095210"
"147","Medtr2g096890"
"148","Medtr2g097010"
"149","Medtr2g097420"
"150","Medtr2g098030"
"151","Medtr2g100450"
"152","Medtr2g100690"
"153","Medtr2g101460"
"154","Medtr2g102273"
"155","Medtr2g103070"
"156","Medtr2g103840"
"157","Medtr2g435740"
"158","Medtr2g438770"
"159","Medtr2g445400"
"160","Medtr2g449770"
"161","Medtr2g450880"
"162","Medtr2g481160"
"163","Medtr3g013790"
"164","Medtr3g021380"
"165","Medtr3g022005"
"166","Medtr3g022060"
"167","Medtr3g025330"
"168","Medtr3g030250"
"169","Medtr3g036000"
"170","Medtr3g047390"
"171","Medtr3g048920"
"172","Medtr3g053790"
"173","Medtr3g055310"
"174","Medtr3g056730"
"175","Medtr3g058430"
"176","Medtr3g058520"
"177","Medtr3g058720"
"178","Medtr3g064040"
"179","Medtr3g064580"
"180","Medtr3g064810"
"181","Medtr3g065410"
"182","Medtr3g069050"
"183","Medtr3g070900"
"184","Medtr3g072130"
"185","Medtr3g072150"
"186","Medtr3g077590"
"187","Medtr3g078110"
"188","Medtr3g078190"
"189","Medtr3g079560"
"190","Medtr3g080090"
"191","Medtr3g081490"
"192","Medtr3g083540"
"193","Medtr3g085470"
"194","Medtr3g087950"
"195","Medtr3g088535"
"196","Medtr3g092460"
"197","Medtr3g092710"
"198","Medtr3g093750"
"199","Medtr3g096990"
"200","Medtr3g097500"
"201","Medtr3g099165"
"202","Medtr3g100400"
"203","Medtr3g103480"
"204","Medtr3g104030"
"205","Medtr3g107740"
"206","Medtr3g107755"
"207","Medtr3g107800"
"208","Medtr3g108190"
"209","Medtr3g108520"
"210","Medtr3g108700"
"211","Medtr3g109380"
"212","Medtr3g112400"
"213","Medtr3g113670"
"214","Medtr3g115620"
"215","Medtr3g118210"
"216","Medtr3g448370"
"217","Medtr3g452530"
"218","Medtr3g452820"
"219","Medtr3g463910"
"220","Medtr3g479510"
"221","Medtr4g006730"
"222","Medtr4g006790"
"223","Medtr4g007850"
"224","Medtr4g009760"
"225","Medtr4g009877"
"226","Medtr4g011570"
"227","Medtr4g012610"
"228","Medtr4g013240"
"229","Medtr4g014210"
"230","Medtr4g014240"
"231","Medtr4g014570"
"232","Medtr4g014770"
"233","Medtr4g017700"
"234","Medtr4g020535"
"235","Medtr4g020740"
"236","Medtr4g021755"
"237","Medtr4g022320"
"238","Medtr4g022510"
"239","Medtr4g022540"
"240","Medtr4g023030"
"241","Medtr4g023040"
"242","Medtr4g024595"
"243","Medtr4g025590"
"244","Medtr4g025970"
"245","Medtr4g028360"
"246","Medtr4g029490"
"247","Medtr4g032805"
"248","Medtr4g033265"
"249","Medtr4g033445"
"250","Medtr4g037585"
